direction,layout,addr,floor,url,price,area,visit,style,publish,xiaoqu,lift,year,title,care
 南 , 2室2厅 ,棠下,低楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0002831485.html,335, 67.5平米 , 共41次带看 , 简装 , 9个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,富力天朗明居 方正两房 含家私家电,26人关注 
 西 , 2室2厅 ,棠下,高楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003938457.html,345, 70平米 , 共0次带看 , 简装 , 6个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居精装 格局方正 厅出阳台望广州塔,0人关注 
 北 , 2室1厅 ,棠下,中楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003777116.html,300, 69.71平米 , 共5次带看 , 其他 , 23天以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居 精装两房 交通方便,6人关注 
 东 , 2室2厅 ,棠下,低楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003888739.html,405, 84.5平米 , 共1次带看 , 精装 , 12天以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居 东向两房 户型方正,1人关注 
 东 , 2室1厅 ,棠下,高楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003929520.html,330, 66平米 , 共0次带看 , 其他 , 2天以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居 精装两房 交通方便,8人关注 
 南 , 3室2厅 ,棠下,低楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0002964724.html,450, 100.94平米 , 共11次带看 , 其他 , 7个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,富力天朗明居 南向三房 望花园 带大平台,45人关注 
 南 , 3室1厅 ,棠下,低楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0002745753.html,450, 95平米 , 共13次带看 , 其他 , 11个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居 正南向三房 采光好 户型方正,30人关注 
 北 , 2室1厅 ,棠下,高楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003655089.html,315, 66平米 , 共4次带看 , 其他 , 1个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,富力天朗明居 实用两房 户型方正,9人关注 
 南 , 2室2厅 ,棠下,低楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003895830.html,380, 65平米 , 共0次带看 , 其他 , 5天以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居 温馨两房 格局方正 采光通风好,6人关注 
 东 , 2室2厅 ,棠下,低楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003923465.html,390, 80.28平米 , 共0次带看 , 简装 , 2天以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居  东向两房 带大露台,3人关注 
 西 , 2室1厅 ,棠下,中楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003840470.html,350, 76.37平米 , 共0次带看 , 其他 , 11天以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居 精装两房 望花园 安静舒适,6人关注 
 东 , 2室1厅 ,棠下,中楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003916355.html,350, 75.51平米 , 共2次带看 , 其他 , 23天以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居 东向两房 户型方正,2人关注 
 南 , 3室2厅 ,棠下,高楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003252719.html,480, 95平米 , 共5次带看 , 简装 , 4个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居 南向三房，高层采光好,15人关注 
 西南 , 3室2厅 ,棠下,中楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003293517.html,430, 91.77平米 , 共2次带看 , 精装 , 5个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,"天朗明居,温馨三居 室采光充足，明厨明卫",24人关注 
 东 , 2室2厅 ,棠下,高楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003771726.html,336, 70平米 , 共0次带看 , 其他 , 25天以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居 正规两房 明厨明卫,10人关注 
 北 , 2室1厅 ,棠下,低楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003204955.html,325, 78.1平米 , 共68次带看 , 其他 , 一年前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,富力天朗明居 精致刚需两房 厅直出阳台,43人关注 
 东 , 2室1厅 ,棠下,高楼层(共22层),https://gz.lianjia.com/ershoufang/GZ0003251234.html,300, 62平米 , 共40次带看 , 其他 , 4个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,富力天朗明居 实用两房 户型方正,67人关注 
 南 , 3室2厅 ,棠下,高楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003206195.html,440, 86.9平米 , 共82次带看 , 其他 , 5个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,富力天朗明居 正规南向高层房 户型方正,37人关注 
 北 , 2室1厅 ,棠下,中楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003394769.html,350, 78.22平米 , 共6次带看 , 其他 , 2个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,富力天朗明居 温馨两房 采光好,8人关注 
 北 , 2室1厅 ,棠下,中楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003260744.html,295, 62平米 , 共11次带看 , 简装 , 4个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,天朗明居四号线车陂站 温馨两房安静看花园,26人关注 
 北 , 2室1厅 ,棠下,低楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003060638.html,290, 66平米 , 共152次带看 , 简装 , 7个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,天朗明居 精致两房 采光通风好 格局方正,25人关注 
 北 , 2室2厅 ,棠下,低楼层(共22层),https://gz.lianjia.com/ershoufang/GZ0003137200.html,340, 71.48平米 , 共49次带看 , 简装 , 5个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,富力天朗明居 北向厅出大两房 格局方正,9人关注 
 北 , 2室2厅 ,棠下,中楼层(共20层),https://gz.lianjia.com/ershoufang/GZ0003850807.html,308, 65.06平米 , 共8次带看 , 其他 , 11天以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,天朗明居 精装两房 望花园 安静舒适,13人关注 
 东 , 4室2厅 ,棠下,低楼层(共20层),https://gz.lianjia.com/ershoufang/GZ0003893382.html,660, 126.96平米 , 共0次带看 , 简装 , 5天以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,天朗明居 户型方正四房 望小区花园,6人关注 
 北 , 2室1厅 ,棠下,低楼层(共22层),https://gz.lianjia.com/ershoufang/GZ0003327569.html,340, 71平米 , 共0次带看 , 简装 , 6个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,精装两房 厅直出阳台 安静望花园,14人关注 
 北 , 2室2厅 ,棠下,低楼层(共22层),https://gz.lianjia.com/ershoufang/GZ0003762211.html,355, 71.6平米 , 共6次带看 , 其他 , 28天以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,富力天朗明居 方正两房 你值得,3人关注 
 南 , 1室1厅 ,棠下,高楼层(共22层),https://gz.lianjia.com/ershoufang/GZ0003894620.html,250, 44.7平米 , 共1次带看 , 简装 , 5天以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,天朗明居 温馨舒适一房 交通便利,9人关注 
 南 , 3室2厅 ,棠下,低楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0002816498.html,430, 86.91平米 , 共20次带看 , 简装 , 9个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,富力天朗明居 南向三房 安静望花园,67人关注 
 北 , 2室1厅 ,棠下,高楼层(共22层),https://gz.lianjia.com/ershoufang/GZ0003804976.html,355, 71.48平米 , 共3次带看 , 简装 , 18天以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,天朗明居 精装两房 交通方便,3人关注 
 东南 , 3室2厅 ,棠下,高楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003814941.html,460, 87平米 , 共1次带看 , 其他 , 3个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,天朗明居 东南向 实用3房 通风采光好,5人关注 
 南 , 2室1厅 ,棠下,低楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003254173.html,330, 65.2平米 , 共16次带看 , 简装 , 4个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,富力天朗明居 南向精装两房 采光好,19人关注 
 西 , 1室1厅 ,棠下,高楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003622779.html,248, 46.34平米 , 共7次带看 , 其他 , 1个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,富力天朗明居 实用一房采光好无遮挡,13人关注 
 东 , 1室1厅 ,棠下,中楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003760359.html,250, 43.8平米 , 共1次带看 , 简装 , 26天以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,富力天朗明居 东向一房 保养好,11人关注 
 西 , 2室1厅 ,棠下,低楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003766214.html,336, 63.79平米 , 共1次带看 , 简装 , 25天以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,中山大道 天朗明居 方正户型,11人关注 
 南 , 3室2厅 ,棠下,低楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003485096.html,428, 87平米 , 共2次带看 , 其他 , 5个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,富力天朗明居 南向三房 户形方正,9人关注 
 南 , 3室2厅 ,棠下,中楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0002800121.html,560, 110.12平米 , 共6次带看 , 简装 , 9个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,富力天朗明居 南向正规三房 带三阳台,46人关注 
 南 , 5室2厅 ,棠下,高楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003002127.html,720, 87平米 , 共1次带看 , 其他 , 7个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,天朗明居 复式单位 高层南向 视野开阔,21人关注 
 南 , 3室1厅 ,棠下,低楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003141422.html,450, 87平米 , 共3次带看 , 其他 , 6个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,富力天朗明居 正规三房 户型方正,26人关注 
 北 , 2室1厅 ,棠下,中楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003289358.html,300, 65.8平米 , 共11次带看 , 简装 , 3个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,实用两房 采光通风好 装修好,15人关注 
 东 , 2室2厅 ,棠下,高楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003333417.html,360, 74平米 , 共7次带看 , 其他 , 3个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,天朗明居 正规两房 明厨明卫,16人关注 
 南 , 4室3厅 ,棠下,高楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003083169.html,748, 87平米 , 共0次带看 , 其他 , 7个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,富力天朗明居 望江复式 通风采光好,8人关注 
 西 , 1室1厅 ,棠下,高楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003392390.html,250, 44平米 , 共7次带看 , 简装 , 2个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,富力天朗明居 实用一房 望花园 安静,20人关注 
 东 , 1室1厅 ,棠下,高楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003248443.html,240, 45.8平米 , 共9次带看 , 简装 , 4个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,富力天朗明居 实用一房  安静舒适,48人关注 
 北 , 2室1厅 ,棠下,中楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003245460.html,295, 61.19平米 , 共4次带看 , 其他 , 4个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,天朗明居 正规两房 明厨明卫,25人关注 
 西 , 2室2厅 ,棠下,低楼层(共22层),https://gz.lianjia.com/ershoufang/GZ0003321952.html,345, 75.53平米 , 共5次带看 , 其他 , 3个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,天朗明居 精装两房 厅出阳台 采光好,7人关注 
 西 , 2室1厅 ,棠下,中楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003518855.html,380, 78平米 , 共0次带看 , 其他 , 2个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,富力天朗明居 精装两房 厅直出阳台,9人关注 
 西 , 2室1厅 ,棠下,低楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003279613.html,315, 67平米 , 共7次带看 , 精装 , 6个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居 温馨两房 舒适居家,5人关注 
 东 , 3室2厅 ,棠下,高楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003326936.html,500, 69平米 , 共0次带看 , 其他 , 5个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,富力天朗明居 高层东向 户型方正,2人关注 
 北 , 2室1厅 ,棠下,中楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003655955.html,330, 70平米 , 共4次带看 , 简装 , 1个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,富力天朗明居 实用两房 厅直出阳台,5人关注 
 西南 , 2室1厅 ,棠下,高楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003583679.html,370, 78平米 , 共3次带看 , 其他 , 1个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居 精装2房 格局方正,7人关注 
 北 , 2室2厅 ,棠下,中楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003583942.html,310, 66平米 , 共5次带看 , 简装 , 1个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居 温馨两房 精装两房,11人关注 
 北 , 2室1厅 ,棠下,中楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003026382.html,310, 67平米 , 共6次带看 , 简装 , 7个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居 北向2房 高层厅出阳台户型,45人关注 
 北 , 2室1厅 ,棠下,中楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0002864757.html,340, 70平米 , 共5次带看 , 简装 , 8个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,富力天朗明居 温馨两房 舒适通透,11人关注 
 南 , 2室2厅 ,棠下,高楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003794058.html,350, 71平米 , 共2次带看 , 简装 , 2个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,富力天朗明居 南向温馨两房 采光好,15人关注 
 北 , 2室2厅 ,棠下,低楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003052737.html,375, 78平米 , 共2次带看 , 其他 , 7个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居 实用小三房 望花园 安静舒适,11人关注 
 北 , 3室2厅 ,棠下,高楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003076472.html,450, 90平米 , 共1次带看 , 其他 , 6个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,天朗明居 精装三房 安静望花园,2人关注 
 东 , 2室1厅 ,棠下,低楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003932472.html,308, 69平米 , 共2次带看 , 其他 , 2天以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,富力天朗明居 精装两房 交通方便,6人关注 
 西 , 2室2厅 ,棠下,高楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003316303.html,360, 71.46平米 , 共0次带看 , 简装 , 4个月以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,富力天朗明居 温馨两室 高层采光通风好,3人关注 
 东南 , 1室1厅 ,棠下,中楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003924998.html,230, 42平米 , 共0次带看 , 其他 , 10天以前发布,富力天朗明居S区  , 有电梯,2001年建塔楼 ,富力天朗明居 精装一房 户型方正,4人关注 
 南 , 2室1厅 ,棠下,中楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003634755.html,338, 65平米 , 共2次带看 , 其他 , 1个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,富力天朗明居 南向两房 安静舒适,9人关注 
 东 , 2室2厅 ,棠下,中楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003659586.html,335, 65平米 , 共1次带看 , 其他 , 1个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,单边东南向 中山大道 天朗明居 方正户型,10人关注 
 东 , 2室1厅 ,棠下,中楼层(共22层),https://gz.lianjia.com/ershoufang/GZ0003460508.html,350, 61.91平米 , 共0次带看 , 简装 , 2个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,天朗明居 大两房 采光通透,7人关注 
 西 , 3室2厅 ,棠下,高楼层(共22层),https://gz.lianjia.com/ershoufang/GZ0002888847.html,520, 98.25平米 , 共0次带看 , 精装 , 9个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,富力天朗明居 西向三房 望花园 安静舒适,9人关注 
 南 , 3室1厅 ,棠下,低楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003309809.html,430, 87平米 , 共0次带看 , 简装 , 3个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,天朗明居 南向三房 视野佳 采光好,14人关注 
 西 , 1室1厅 ,棠下,高楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003327568.html,250, 43.8平米 , 共0次带看 , 简装 , 5个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,富力天朗明居 实用一房 望花园 安静舒适,16人关注 
 北 , 2室1厅 ,棠下,中楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003104789.html,320, 65.2平米 , 共0次带看 , 精装 , 7个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,天朗明居 温馨两房 户型方正,8人关注 
 北 , 2室2厅 ,棠下,低楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003163397.html,375, 78平米 , 共0次带看 , 简装 , 5个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,富力天朗明居 二期厅出大两房 格局方正,6人关注 
 南 , 1室1厅 ,棠下,高楼层(共22层),https://gz.lianjia.com/ershoufang/GZ0003929970.html,245, 45平米 , 共2次带看 , 其他 , 5个月以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,富力天朗明居 南向一房 高层望花园,4人关注 
 北 , 2室2厅 ,棠下,高楼层(共26层),https://gz.lianjia.com/ershoufang/GZ0003937711.html,360, 78平米 , 共0次带看 , 其他 , 3天以前发布,富力天朗明居N区  , 有电梯,2002年建塔楼 ,富力天朗明居 高层两房望花园 视野好,2人关注 
 北 , 3室2厅 ,东圃,中楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003493948.html,460, 101.63平米 , 共9次带看 , 其他 , 2个月以前发布,美林湖畔花园  , 有电梯,2005年建塔楼 ,美林湖畔花园 方正大三房 安静望花园,53人关注 
 东北 , 5室2厅 ,东圃,高楼层(共6层),https://gz.lianjia.com/ershoufang/GZ0003294367.html,425, 85平米 , 共10次带看 , 其他 , 3个月以前发布,美林湖畔花园  , 无电梯,2005年建塔楼 ,美林湖畔 复式5房 户型正 实用 安静,93人关注 
 东南 , 3室2厅 ,东圃,中楼层(共24层),https://gz.lianjia.com/ershoufang/GZ0003338639.html,460, 98.06平米 , 共19次带看 , 其他 , 6个月以前发布,美林湖畔花园  , 有电梯,2006年建塔楼 ,美林湖畔 实用三房 装修保养好,66人关注 
 东南 , 3室2厅 ,东圃,中楼层(共24层),https://gz.lianjia.com/ershoufang/GZ0003410606.html,480, 98.06平米 , 共9次带看 , 其他 , 4个月以前发布,美林湖畔花园  , 有电梯,2006年建塔楼 ,实用舒适单位 配套完善,14人关注 
 西北 , 8室2厅 ,东圃,高楼层(共11层),https://gz.lianjia.com/ershoufang/GZ0003101745.html,800, 118平米 , 共1次带看 , 其他 , 6个月以前发布,美林湖畔花园  , 有电梯,2005年建塔楼 ,美林湖畔花园复式8房 保养好 望花园,30人关注 
 南 , 2室1厅 ,棠下,高楼层(共16层),https://gz.lianjia.com/ershoufang/GZ0003249338.html,275, 61.87平米 , 共36次带看 , 简装 , 4个月以前发布,春江花园  , 有电梯,2000年建塔楼 ,春江花园 精装两房 实用方正,50人关注 
 东北 , 3室1厅 ,棠下,高楼层(共16层),https://gz.lianjia.com/ershoufang/GZ0003911371.html,312, 78平米 , 共0次带看 , 简装 , 10天以前发布,春江花园  , 有电梯,2000年建塔楼 ,中高层温馨三房  通风采光好  视野佳,2人关注 
 东 , 3室2厅 ,棠下,低楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003209299.html,450, 95平米 , 共1次带看 , 精装 , 11个月以前发布,春江花园  , 有电梯,2000年建塔楼 ,春江花园 实用三房 带平台 户型方正,6人关注 
 北 , 2室2厅 ,棠下,中楼层(共16层),https://gz.lianjia.com/ershoufang/GZ0003504865.html,320, 84平米 , 共14次带看 , 其他 , 2个月以前发布,春江花园  , 有电梯,2000年建塔楼 ,春江花园 采光好 格局方正,22人关注 
 西 , 1室1厅 ,棠下,中楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0002914986.html,228, 44.13平米 , 共0次带看 , 其他 , 8个月以前发布,春江花园  , 有电梯,2000年建塔楼 ,春江花园 高层一房 高层一房视野采光好,13人关注 
 北 , 2室2厅 ,棠下,中楼层(共16层),https://gz.lianjia.com/ershoufang/GZ0003894546.html,273, 62平米 , 共4次带看 , 简装 , 6天以前发布,春江花园  , 有电梯,2000年建塔楼 ,春江花园 2室2厅 273万,3人关注 
 西 , 1室1厅 ,棠下,中楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003271812.html,195, 51.99平米 , 共16次带看 , 简装 , 7个月以前发布,春江花园  , 有电梯,2000年建塔楼 ,春江花园 精装一房 温馨安静,28人关注 
 西 , 2室1厅 ,棠下,低楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003177195.html,172, 44.13平米 , 共24次带看 , 简装 , 5个月以前发布,春江花园  , 有电梯,2000年建塔楼 ,春江花园  小两房  安静温馨 配套成熟,160人关注 
 北 , 3室1厅 ,棠下,中楼层(共16层),https://gz.lianjia.com/ershoufang/GZ0003464292.html,315, 83平米 , 共16次带看 , 简装 , 4个月以前发布,春江花园  , 有电梯,2000年建塔楼 ,春江花园 实用三房 户型方正,23人关注 
 南 , 2室1厅 ,棠下,中楼层(共16层),https://gz.lianjia.com/ershoufang/GZ0003665913.html,293, 67平米 , 共11次带看 , 其他 , 31天以前发布,春江花园  , 有电梯,2000年建塔楼 ,春江花园 南向大两房 安静望花园,18人关注 
 东 , 3室2厅 ,棠下,低楼层(共18层),https://gz.lianjia.com/ershoufang/GZ0003835670.html,350, 94.06平米 , 共0次带看 , 其他 , 12天以前发布,春江花园  , 有电梯,2000年建塔楼 ,"春江花园 精装三房,单边位，采光通风好",3人关注 
 南 , 2室1厅 ,棠下,中楼层(共16层),https://gz.lianjia.com/ershoufang/GZ0003845012.html,255, 61.87平米 , 共11次带看 , 简装 , 1个月以前发布,春江花园  , 有电梯,2000年建塔楼 ,春江花园 实用两房 户型方正,8人关注 
