direction,layout,addr,floor,url,price,area,visit,style,xiaoqu,year,title
东南,2室1厅,天河沙太北,中楼层/共9层,https://gz.lianjia.com/ershoufang/GZ0003528407.html,270,70平米,0,其他,白天鹅花园,2004年建/塔楼,白天鹅花园 两房户型 东南朝向
东南,2室2厅,天河沙太北,低楼层/共9层,https://gz.lianjia.com/ershoufang/GZ0003242896.html,270,86.98平米,0,其他,麒麟岗公安宿舍,1999年建/塔楼,麒麟岗花园 方正实用两房
南,2室2厅,天河沙太北,低楼层/共18层,https://gz.lianjia.com/ershoufang/GZ0003375074.html,300,69.6平米,0,简装,南兴花园,2004年建/塔楼,南兴花园 实用两房 带大露台
北,2室1厅,天河沙太北,低楼层/共18层,https://gz.lianjia.com/ershoufang/GZ0003731888.html,330,83平米,0,简装,南兴花园,2004年建/塔楼,南兴花园 实用两房 装修保养好
西南,1室1厅,天河沙太北,中楼层/共9层,https://gz.lianjia.com/ershoufang/GZ0003596254.html,105,35.11平米,0,简装,金湖雅苑,1999年建/塔楼,金湖雅苑 1房1厅 中低楼层
西南,3室2厅,天河沙太北,中楼层/共12层,https://gz.lianjia.com/ershoufang/GZ0003242563.html,318,83.74平米,0,其他,南兴花园,2004年建/塔楼,南兴花园 电梯三房 通风采光好
南,2室1厅,天河沙太北,高楼层/共18层,https://gz.lianjia.com/ershoufang/GZ0003066988.html,290,70平米,0,简装,南兴花园,2004年建/塔楼,南兴花园 实用两房
南,2室2厅,天河沙太北,中楼层/共9层,https://gz.lianjia.com/ershoufang/GZ0003399794.html,300,87平米,0,其他,麒麟岗公安宿舍,1999年建/塔楼,麒麟岗公安宿舍 方正南向实用
东,3室2厅,天河沙太北,低楼层/共17层,https://gz.lianjia.com/ershoufang/GZ0003602278.html,426.4,112.21平米,0,其他,白天鹅花园,2008年建/塔楼,白天鹅花园 四房户型 方正实用
南,3室2厅,天河沙太北,高楼层/共19层,https://gz.lianjia.com/ershoufang/GZ0003592720.html,292,98.51平米,0,其他,金湖雅苑,1999年建/塔楼,金湖雅苑 电梯三房 精装修
南,3室1厅,天河沙太北,中楼层/共18层,https://gz.lianjia.com/ershoufang/GZ0003573304.html,400,96平米,0,其他,南兴花园,2004年建/塔楼,南兴花园 精装三房 采光通风好
西北,4室2厅,天河沙太北,中楼层/共18层,https://gz.lianjia.com/ershoufang/GZ0003264022.html,350,133平米,0,其他,金湖雅苑,1999年建/塔楼,金湖雅苑 交通便利 户型方正
东南,3室2厅,天河沙太北,高楼层/共18层,https://gz.lianjia.com/ershoufang/GZ0003200663.html,380,100平米,0,简装,南兴花园,2004年建/塔楼,南兴花园 实用三房 采光通风好
南,3室2厅,天河沙太北,低楼层/共9层,https://gz.lianjia.com/ershoufang/GZ0003075973.html,355,126平米,0,简装,金湖雅苑,1999年建/塔楼,金湖雅苑，大三房，精装修，采光佳
西北,1室1厅,天河沙太北,中楼层/共17层,https://gz.lianjia.com/ershoufang/GZ0002836041.html,160,40.66平米,0,其他,白天鹅花园,2008年建/塔楼,白天鹅花园 装修保养好
东南,3室1厅,天河沙太北,中楼层/共12层,https://gz.lianjia.com/ershoufang/GZ0003308740.html,330,94.87平米,0,其他,南兴花园,2004年建/塔楼,南兴花园 三房两厅 采光好
西北,3室2厅,天河沙太北,高楼层/共17层,https://gz.lianjia.com/ershoufang/GZ0003280233.html,400,110平米,0,其他,白天鹅花园,2005年建/塔楼,白天鹅花园 三房户型 南北对流
西南,3室2厅,天河沙太北,高楼层/共19层,https://gz.lianjia.com/ershoufang/GZ0003027847.html,320,132.6平米,0,简装,金湖雅苑,1999年建/塔楼,金湖雅苑，大三房，精装修，采光佳
北,3室2厅,天河沙太北,中楼层/共19层,https://gz.lianjia.com/ershoufang/GZ0002646377.html,400,133平米,0,其他,金湖雅苑,1999年建/塔楼,金湖雅苑 电梯高层南北对流
东 西,4室2厅,天河沙太北,高楼层/共4层,https://gz.lianjia.com/ershoufang/GZ0003119248.html,1450,255平米,0,其他,金湖花园金湖翡翠谷,1993年建/板楼,金湖花园 金湖翡翠谷 大面积复式
北,2室1厅,天河沙太北,中楼层/共18层,https://gz.lianjia.com/ershoufang/GZ0003830814.html,298,82.5平米,0,其他,南兴花园,2004年建/塔楼,南兴花园 实用两房 装修保养好
东南,3室2厅,天河沙太北,中楼层/共19层,https://gz.lianjia.com/ershoufang/GZ0003267612.html,275,98.5平米,0,其他,金湖雅苑,1999年建/塔楼,电梯楼 生活配套完善 交通便利
东南,3室2厅,天河沙太北,中楼层/共18层,https://gz.lianjia.com/ershoufang/GZ0002994786.html,395,96平米,0,其他,南兴花园,2004年建/塔楼,南兴花园 3室2厅 395万
北,2室1厅,天河沙太北,中楼层/共17层,https://gz.lianjia.com/ershoufang/GZ0002882919.html,275,76平米,0,其他,白天鹅花园,2008年建/塔楼,白天鹅花园 方正实用两房
西南,3室2厅,天河沙太北,中楼层/共18层,https://gz.lianjia.com/ershoufang/GZ0003803150.html,406,100平米,0,其他,南兴花园,2004年建/塔楼,南兴花园 电梯三房带主套 望花园
北,1室1厅,天河珠江新城中,高楼层/共26层,https://gz.lianjia.com/ershoufang/GZ0003613121.html,500,58.75平米,0,其他,方圆月岛,2009年建/塔楼,高层复式一房 住家舒适 挑空客厅
南 北,4室2厅,天河珠江新城西,高楼层/共21层,https://gz.lianjia.com/ershoufang/GZ0003071031.html,1235,164平米,0,其他,保利香槟花园,2004年建/塔楼,保利香槟花园 南北向四房 高层望花园
东北,3室2厅,天河珠江新城西,中楼层/共30层,https://gz.lianjia.com/ershoufang/GZ0003397437.html,882,126平米,0,简装,丽晶华庭,1998年建/塔楼,丽晶华庭 3室2厅 882万
北,4室2厅,天河珠江新城西,低楼层/共29层,https://gz.lianjia.com/ershoufang/GZ0003395634.html,1100,150平米,0,精装,保利香槟花园,2004年建/塔楼,保利香槟花园 园林小区 精装四房
东南,4室2厅,天河珠江新城西,高楼层/共33层,https://gz.lianjia.com/ershoufang/GZ0002640719.html,800,151平米,0,其他,名门大厦,1997年建/塔楼,东南向复式4房 光线好 安静大户型
北,1室0厅,天河珠江新城西,中楼层/共28层,https://gz.lianjia.com/ershoufang/GZ0003056783.html,300,44.58平米,0,简装,星汇国际大厦,2003年建/塔楼,星汇国际 装修保养好 中高层 安静采光好
西北,1室1厅,天河珠江新城西,中楼层/共28层,https://gz.lianjia.com/ershoufang/GZ0002727506.html,480,60平米,0,其他,碧海湾,2003年建/塔楼,碧海湾 一房一厅 落地玻璃窗 采光明亮
西,2室1厅,天河珠江新城西,高楼层/共33层,https://gz.lianjia.com/ershoufang/GZ0003206411.html,690,77.57平米,0,精装,珠江都荟华庭,2006年建/塔楼,珠江都荟 高档2房 园林小区
西,2室2厅,天河珠江新城西,低楼层/共33层,https://gz.lianjia.com/ershoufang/GZ0003201583.html,420,82平米,0,其他,南天广场,1997年建/塔楼,方正实用两房 采光好 装修温馨
南 北,3室2厅,天河珠江新城西,高楼层/共33层,https://gz.lianjia.com/ershoufang/GZ0003389565.html,1350,128.33平米,0,精装,珠江都荟华庭,2006年建/塔楼,珠江都荟 南北向三房 采光良好
东,2室2厅,天河珠江新城西,低楼层/共32层,https://gz.lianjia.com/ershoufang/GZ0003319825.html,720,82.43平米,0,简装,保利中心108公馆,2009年建/塔楼,保林苑 东向中高层两房 望小区花园
东北,3室2厅,天河珠江新城西,低楼层/共28层,https://gz.lianjia.com/ershoufang/GZ0003227141.html,900,129平米,0,精装,碧海湾,2003年建/塔楼,碧海湾 精装三房 户型方正实用
南,3室1厅,天河珠江新城西,高楼层/共25层,https://gz.lianjia.com/ershoufang/GZ0003142724.html,708,118平米,0,精装,远洋明珠大厦,1998年建/塔楼,远洋明珠大厦 南向 方正实用三房
南,3室2厅,天河珠江新城西,低楼层/共33层,https://gz.lianjia.com/ershoufang/GZ0003235772.html,550,101.91平米,0,其他,南天广场,1997年建/塔楼,南天广场 南向三房  采光好 诚心放售
西,2室2厅,天河珠江新城西,低楼层/共33层,https://gz.lianjia.com/ershoufang/GZ0003186167.html,660,78平米,0,精装,珠江都荟华庭,2006年建/塔楼,珠江都荟 温馨两房 园林小区
北,4室2厅,天河珠江新城西,中楼层/共32层,https://gz.lianjia.com/ershoufang/GZ0003077609.html,880,113平米,0,其他,星汇园,2002年建/塔楼,星汇园 花园小区温馨四房 高楼层新装修
西南,4室2厅,天河珠江新城西,中楼层/共28层,https://gz.lianjia.com/ershoufang/GZ0003583373.html,1380,198.71平米,0,简装,碧海湾,2003年建/塔楼,碧海湾 花园小区 户型方正
南 北,3室2厅,天河珠江新城西,中楼层/共28层,https://gz.lianjia.com/ershoufang/GZ0003037579.html,1100,129平米,0,精装,碧海湾,2003年建/塔楼,碧海湾对流望江三房 新装修 新家电附赠
西,1室0厅,天河珠江新城西,低楼层/共32层,https://gz.lianjia.com/ershoufang/GZ0002393577.html,268,33平米,0,精装,铂林国际公寓,2005年建/塔楼,铂林国际 大单间 配套完善 交通方便
南,6室2厅,天河珠江新城西,中楼层/共28层,https://gz.lianjia.com/ershoufang/GZ0002326194.html,2597,371平米,0,精装,碧海湾,2003年建/塔楼,碧海湾 南向望江大宅，安静舒适，温馨实用
南,3室2厅,天河珠江新城西,中楼层/共25层,https://gz.lianjia.com/ershoufang/GZ0002278147.html,880,118平米,0,简装,远洋明珠大厦,1998年建/塔楼,远洋明珠大厦 高层三房 东南向
西南,2室2厅,天河珠江新城西,低楼层/共33层,https://gz.lianjia.com/ershoufang/GZ0002913269.html,792,88平米,0,简装,珠江都荟华庭,2006年建/塔楼,珠江都荟 精装两房 通风采光好 小区管理
东南,4室1厅,天河珠江新城西,中楼层/共28层,https://gz.lianjia.com/ershoufang/GZ0002727504.html,1269.6,184平米,0,简装,碧海湾,2003年建/塔楼,碧海湾 四房两厅 高层南向
东南,3室2厅,天河珠江新城西,中楼层/共28层,https://gz.lianjia.com/ershoufang/GZ0002727505.html,896,128平米,0,简装,碧海湾,2003年建/塔楼,碧海湾 四房两厅 证满两年
西北,2室2厅,天河珠江新城西,高楼层/共22层,https://gz.lianjia.com/ershoufang/GZ0002844601.html,530,60.97平米,0,精装,铂林国际公寓,2005年建/塔楼,铂林国际 复式2房 户型实用 采光好
南,1室1厅,天河珠江新城西,高楼层/共22层,https://gz.lianjia.com/ershoufang/GZ0003082257.html,370,37平米,0,简装,铂林国际公寓,2005年建/塔楼,铂林国际公寓 高层复式 独立大阳台
东南,3室2厅,天河珠江新城西,低楼层/共41层,https://gz.lianjia.com/ershoufang/GZ0003246633.html,1700,243平米,0,精装,星汇云锦,2010年建/塔楼,星汇云锦 东南靓向 安静舒适
北,3室2厅,天河珠江新城西,高楼层/共30层,https://gz.lianjia.com/ershoufang/GZ0002235426.html,690,111平米,0,简装,丽晶华庭,1998年建/塔楼,丽晶华庭方正实用三房 装修保养好临近地铁
西南,1室1厅,天河珠江新城西,低楼层/共45层,https://gz.lianjia.com/ershoufang/GZ0003637185.html,700,86平米,0,精装,星汇云锦,2010年建/塔楼,星汇云锦 西南向 大一房
南,1室2厅,天河珠江新城西,高楼层/共22层,https://gz.lianjia.com/ershoufang/GZ0002718892.html,320,35平米,0,简装,铂林国际公寓,2005年建/塔楼,铂林国际公寓 1室2厅 320万
东北,2室2厅,天河珠江新城西,中楼层/共32层,https://gz.lianjia.com/ershoufang/GZ0003265927.html,750,94平米,0,精装,星汇园,2002年建/塔楼,星汇园 两房两厅 格局方正 安静舒适
北,2室1厅,天河珠江新城中,中楼层/共32层,https://gz.lianjia.com/ershoufang/GZ0003044639.html,588,64平米,0,简装,隽峰苑,2008年建/塔楼,隽峰苑 方正实用两房 楼层佳
北,2室2厅,天河珠江新城中,低楼层/共33层,https://gz.lianjia.com/ershoufang/GZ0002994302.html,780,86.51平米,0,精装,保利心语花园,2009年建/塔楼,保利心语 户型方正采光好
南,3室2厅,天河珠江新城中,低楼层/共45层,https://gz.lianjia.com/ershoufang/GZ0002792036.html,1160,139平米,0,精装,朱美拉公寓,2009年建/塔楼,朱美拉 纯南向三房 近中轴线的品质小区
西,3室2厅,天河珠江新城中,低楼层/共33层,https://gz.lianjia.com/ershoufang/GZ0003851458.html,1380,152平米,0,其他,嘉裕公馆,2015年建/塔楼,嘉裕公馆 二期 3房 业主自选靓材料装修
西北,3室2厅,天河珠江新城中,中楼层/共31层,https://gz.lianjia.com/ershoufang/GZ0003298791.html,1350,132平米,0,其他,中海璟晖华庭二期,2009年建/塔楼,中海璟晖 三房 温馨舒适 望花园
东北,3室2厅,天河珠江新城中,高楼层/共29层,https://gz.lianjia.com/ershoufang/GZ0003820630.html,990,110平米,0,简装,利雅湾,2004年建/塔楼,利雅湾 看花园3房 格局实用 看房便利
北,2室2厅,天河珠江新城中,高楼层/共32层,https://gz.lianjia.com/ershoufang/GZ0003430551.html,710,81平米,0,精装,保利心语花园,2009年建/塔楼,保利心语 单边位两房 采光好 干净舒适
北,3室2厅,天河珠江新城中,高楼层/共31层,https://gz.lianjia.com/ershoufang/GZ0003930283.html,880,90.46平米,0,精装,利雅湾,2004年建/塔楼,利雅湾 精致三房 高层视野开阔 双阳台
北,3室2厅,天河珠江新城中,中楼层/共48层,https://gz.lianjia.com/ershoufang/GZ0002916628.html,1080,115平米,0,其他,汇峰苑,2008年建/塔楼,汇峰苑 精致三房 户型好
西南,3室2厅,天河珠江新城中,低楼层/共29层,https://gz.lianjia.com/ershoufang/GZ0003043564.html,1150,130平米,0,精装,利雅湾,2004年建/塔楼,利雅湾 精装三房 视野开阔
南,3室2厅,天河珠江新城中,中楼层/共46层,https://gz.lianjia.com/ershoufang/GZ0003043174.html,1318,132平米,0,精装,方圆月岛,2009年建/塔楼,方圆月岛 三房两厅 居家实用型
北,2室2厅,天河珠江新城中,高楼层/共33层,https://gz.lianjia.com/ershoufang/GZ0002831008.html,729,81平米,0,精装,保利心语花园,2009年建/塔楼,保利心语 精致样板房 温馨住家 采光好
北,4室2厅,天河珠江新城中,低楼层/共33层,https://gz.lianjia.com/ershoufang/GZ0003393840.html,1550,173平米,0,其他,嘉裕公馆,未知年建/塔楼,嘉裕公馆 4室2厅 1550万
北,3室2厅,天河珠江新城中,中楼层/共32层,https://gz.lianjia.com/ershoufang/GZ0003257561.html,950,110平米,0,其他,保利心语花园,2008年建/塔楼,保利心语 三房两厅两卫 户型方正
北,3室2厅,天河珠江新城中,高楼层/共32层,https://gz.lianjia.com/ershoufang/GZ0003214029.html,930,110平米,0,简装,保利心语花园,2008年建/塔楼,保利心语花园 过5年 单边位三房
南,3室2厅,天河珠江新城中,高楼层/共31层,https://gz.lianjia.com/ershoufang/GZ0003036303.html,1350,151平米,0,其他,利雅湾,2004年建/塔楼,利雅湾 精装三房 视野开阔
西南,2室2厅,天河珠江新城中,高楼层/共31层,https://gz.lianjia.com/ershoufang/GZ0003036299.html,1130,125.41平米,0,其他,利雅湾,2004年建/塔楼,利雅湾 精装三房 视野开阔
南,2室2厅,天河珠江新城中,高楼层/共30层,https://gz.lianjia.com/ershoufang/GZ0003782596.html,900,80平米,0,其他,中海花城湾,2014年建/塔楼,中海花城湾 南向两房 望小蛮腰
南,3室2厅,天河珠江新城中,低楼层/共45层,https://gz.lianjia.com/ershoufang/GZ0002589752.html,1150,138.98平米,0,精装,朱美拉公寓,2009年建/塔楼,朱美拉 南向三房 业主诚心放售
南,3室2厅,天河珠江新城中,低楼层/共33层,https://gz.lianjia.com/ershoufang/GZ0003793805.html,1350,123平米,0,其他,嘉裕公馆,未知年建/塔楼,嘉裕公馆 舒适 望花园景观好
北,3室2厅,天河珠江新城中,高楼层/共33层,https://gz.lianjia.com/ershoufang/GZ0003567527.html,1220,122.7平米,0,其他,嘉裕公馆,未知年建/塔楼,嘉裕公馆 格局方正 视野开阔 新楼未住过
南,3室2厅,天河珠江新城中,低楼层/共31层,https://gz.lianjia.com/ershoufang/GZ0003765444.html,1050,125平米,0,简装,利雅湾,2004年建/塔楼,利雅湾 大三房 望小区花园 安静
东,6室2厅,天河珠江新城中,低楼层/共46层,https://gz.lianjia.com/ershoufang/GZ0002935421.html,2800,354平米,0,精装,方圆月岛,2009年建/塔楼,方圆月岛 标准双层6+1房带车位 非中空
南,3室2厅,天河珠江新城中,中楼层/共46层,https://gz.lianjia.com/ershoufang/GZ0003095531.html,1250,132.1平米,0,精装,方圆月岛,2009年建/塔楼,方圆月岛 高层南向三房
南,3室2厅,天河珠江新城中,中楼层/共32层,https://gz.lianjia.com/ershoufang/GZ0003914989.html,1200,137平米,0,简装,隽峰苑,2008年建/塔楼,隽峰苑 南北通透三房 新装修
南,4室2厅,天河珠江新城中,中楼层/共32层,https://gz.lianjia.com/ershoufang/GZ0003107635.html,1470,167平米,0,简装,隽峰苑,2008年建/塔楼,隽峰苑 装四房 采光佳 景观好
北,3室2厅,天河珠江新城中,高楼层/共48层,https://gz.lianjia.com/ershoufang/GZ0003218931.html,1300,136平米,0,简装,汇峰苑,2008年建/塔楼,汇峰苑 高层三房 花园小区
北,3室2厅,天河珠江新城中,中楼层/共32层,https://gz.lianjia.com/ershoufang/GZ0003183390.html,1100,118.28平米,0,精装,中海璟晖华庭,2007年建/塔楼,中海璟晖华庭 方正三房 小区环境和管理好
南,3室2厅,天河珠江新城中,低楼层/共46层,https://gz.lianjia.com/ershoufang/GZ0002235949.html,1180,132.5平米,0,精装,方圆月岛,2009年建/塔楼,南向 三房 全新装修 即买即住
北,3室2厅,天河珠江新城东,高楼层/共15层,https://gz.lianjia.com/ershoufang/GZ0003265848.html,620,88平米,0,精装,金骏大厦,1996年建/塔楼,金骏大厦 小三房 干净舒适 温馨住家
西北,2室2厅,天河粤垦,中楼层/共15层,https://gz.lianjia.com/ershoufang/GZ0003277127.html,315,82.91平米,0,其他,侨源山庄,1998年建/塔楼,侨源山庄 电梯二房 视野开阔
东南,3室2厅,天河粤垦,高楼层/共9层,https://gz.lianjia.com/ershoufang/GZ0003914985.html,350,108平米,0,其他,汇富花园,1996年建/塔楼,汇富花园 三房 户型方正实用
南,3室2厅,天河粤垦,低楼层/共16层,https://gz.lianjia.com/ershoufang/GZ0003380275.html,348,82平米,0,其他,金燕花园,2004年建/塔楼,金燕花园 精装三房 户型方正
南 北,3室1厅,天河粤垦,低楼层/共33层,https://gz.lianjia.com/ershoufang/GZ0003323825.html,285,96平米,0,简装,兴禺大厦,2002年建/塔楼,兴禺大厦 电梯房 住家装修 户型方正
北,3室2厅,天河粤垦,中楼层/共16层,https://gz.lianjia.com/ershoufang/GZ0003086917.html,313,78.35平米,0,其他,金燕花园,2004年建/塔楼,金燕花园 精装二房 户型方正 采光好
东南,3室2厅,天河粤垦,中楼层/共26层,https://gz.lianjia.com/ershoufang/GZ0003342273.html,380,83.48平米,0,其他,金燕花园,2004年建/塔楼,粤垦路金燕花园 电梯三房
南,2室1厅,天河粤垦,低楼层/共26层,https://gz.lianjia.com/ershoufang/GZ0003522371.html,330,78.25平米,0,简装,金燕花园,2002年建/塔楼,金燕花园 南向电梯二房双阳台
东北,3室2厅,天河粤垦,中楼层/共28层,https://gz.lianjia.com/ershoufang/GZ0002851701.html,390,87平米,0,其他,天河峰景大厦,2008年建/塔楼,天河峰景 电梯中层 地铁站物业
西南,3室2厅,天河粤垦,低楼层/共15层,https://gz.lianjia.com/ershoufang/GZ0003286867.html,520,108平米,0,简装,瑞心苑,2000年建/塔楼,瑞心苑 精装电梯三房 采光好
西南,2室2厅,天河粤垦,高楼层/共11层,https://gz.lianjia.com/ershoufang/GZ0003392914.html,430,83平米,0,其他,观山苑,2010年建/塔楼,观山苑 电梯大两房 采光好 楼龄新
南,3室1厅,天河粤垦,低楼层/共23层,https://gz.lianjia.com/ershoufang/GZ0003245231.html,385,99.97平米,0,简装,侨源山庄,1998年建/塔楼,侨源山庄 南向 电梯三房 安静小区
南,4室2厅,天河粤垦,低楼层/共33层,https://gz.lianjia.com/ershoufang/GZ0003892814.html,350,94.28平米,0,其他,兴禺大厦,2002年建/塔楼,兴禺大厦 户型方正 采光充足 交通便利
北,3室2厅,天河粤垦,低楼层/共26层,https://gz.lianjia.com/ershoufang/GZ0003391055.html,398,96平米,0,精装,金燕花园,2002年建/塔楼,金燕花园 精装电梯三房 户型方正 采光好
南,3室2厅,天河粤垦,中楼层/共9层,https://gz.lianjia.com/ershoufang/GZ0003613157.html,295,79平米,0,其他,侨源山庄,1998年建/塔楼,天河燕塘 南向三房 安静舒适 采光好
北,3室2厅,天河粤垦,低楼层/共26层,https://gz.lianjia.com/ershoufang/GZ0003186102.html,380,98.29平米,0,其他,金燕花园,2002年建/塔楼,金燕花园 大三房采光好 舒适格局
南,3室2厅,天河粤垦,低楼层/共10层,https://gz.lianjia.com/ershoufang/GZ0002692272.html,380,88.74平米,0,其他,金燕花园,未知年建/塔楼,金燕花园 电梯南向三房 户型方正实用
西北,3室1厅,天河粤垦,中楼层/共16层,https://gz.lianjia.com/ershoufang/GZ0003650344.html,330,82平米,0,其他,金燕花园,2004年建/塔楼,金燕花园 精装三房 户型方正
东北,2室2厅,天河粤垦,中楼层/共26层,https://gz.lianjia.com/ershoufang/GZ0003883606.html,315,91平米,0,精装,五星阁,2000年建/塔楼,天河区 粤垦路 五星阁 精装电梯两房
东北,3室2厅,天河粤垦,高楼层/共9层,https://gz.lianjia.com/ershoufang/GZ0003132296.html,380,90平米,0,其他,燕塘广场,1998年建/塔楼,燕塘大院  舒适三房 户型方正
南,2室2厅,天河粤垦,高楼层/共9层,https://gz.lianjia.com/ershoufang/GZ0003565137.html,220,70.84平米,0,简装,华文学院,1999年建/塔楼,华文学院 南向 精装2房 景观房
东南,3室2厅,天河粤垦,低楼层/共9层,https://gz.lianjia.com/ershoufang/GZ0003225493.html,358,95.19平米,0,其他,燕塘广场,1995年建/塔楼,燕塘广场 实用三房 东南向采光通风好。
西北,3室2厅,天河粤垦,高楼层/共9层,https://gz.lianjia.com/ershoufang/GZ0003260899.html,300,91平米,0,其他,金燕花园,1996年建/塔楼,金燕花园 实用三房 采光通风好
北,2室2厅,天河粤垦,低楼层/共33层,https://gz.lianjia.com/ershoufang/GZ0002846769.html,248,82.43平米,0,简装,兴禺大厦,2002年建/塔楼,兴禺大厦 电梯两房 采光充足 交通便利
南,2室2厅,天河粤垦,低楼层/共9层,https://gz.lianjia.com/ershoufang/GZ0003828291.html,305,67平米,0,精装,燕塘广场,1998年建/塔楼,燕塘广场 电梯2房 正南向 采光好通风好
西南,3室2厅,天河粤垦,中楼层/共9层,https://gz.lianjia.com/ershoufang/GZ0003818356.html,310,89平米,0,其他,金燕花园,1999年建/塔楼,金燕花园 南向三房 采光良好
南,2室2厅,天河粤垦,中楼层/共9层,https://gz.lianjia.com/ershoufang/GZ0003078231.html,262,71.8平米,0,其他,金燕花园,1995年建/塔楼,金燕花园 实用二房
东北,3室1厅,天河粤垦,高楼层/共32层,https://gz.lianjia.com/ershoufang/GZ0003119156.html,374,85.43平米,0,其他,天河峰景大厦,2008年建/塔楼,天河峰景 精装电梯三房 采光好
北,4室1厅,天河粤垦,低楼层/共19层,https://gz.lianjia.com/ershoufang/GZ0003046161.html,370,106.21平米,0,精装,豪景花园,2007年建/塔楼,豪景花园 采光好 格局方正
南,3室2厅,天河粤垦,低楼层/共9层,https://gz.lianjia.com/ershoufang/GZ0003395823.html,380,109.74平米,0,简装,金燕花园,1999年建/塔楼,金燕花园 三房两卫 南向 户型方正
东,3室2厅,天河粤垦,低楼层/共16层,https://gz.lianjia.com/ershoufang/GZ0003283296.html,420,103平米,0,其他,金燕花园,2004年建/塔楼,金燕花园 精装三房 户型方正 采光好
北,3室2厅,天河珠江新城东,中楼层/共28层,https://gz.lianjia.com/ershoufang/GZ0003036226.html,950,151.78平米,0,简装,汇豪大厦,1996年建/塔楼,汇豪大厦 双景观阳台 装修保养好
南,2室2厅,天河珠江新城东,低楼层/共28层,https://gz.lianjia.com/ershoufang/GZ0003825469.html,730,85平米,0,精装,嘉裕丹顿阳光,2010年建/塔楼,嘉裕丹顿阳光 新装修 精选南向两房
东南,4室2厅,天河珠江新城东,高楼层/共29层,https://gz.lianjia.com/ershoufang/GZ0003786517.html,980,136.56平米,0,精装,君怡大厦,1996年建/塔楼,君怡大厦 东向四房 隔离生活便利
西南,2室2厅,天河珠江新城东,中楼层/共18层,https://gz.lianjia.com/ershoufang/GZ0003106505.html,580,74平米,0,精装,星汇雅苑,2007年建/塔楼,星汇雅苑 方正实用两房 住家装修
西北,2室2厅,天河珠江新城东,高楼层/共24层,https://gz.lianjia.com/ershoufang/GZ0002806985.html,538,80.49平米,0,简装,南国花园,2008年建/塔楼,南国花园 方正实用 望花园
西南,3室2厅,天河珠江新城东,高楼层/共32层,https://gz.lianjia.com/ershoufang/GZ0003122265.html,1100,137平米,0,精装,尚东美御,2007年建/塔楼,高层南向 业主自住 装修保养好 舒适住家
西北,2室2厅,天河珠江新城东,高楼层/共29层,https://gz.lianjia.com/ershoufang/GZ0003829418.html,580,93.23平米,0,简装,君怡大厦,1996年建/塔楼,君怡大厦 实用两房单位 厅出阳台
西北,1室1厅,天河珠江新城东,低楼层/共33层,https://gz.lianjia.com/ershoufang/GZ0003293577.html,270,66.2平米,0,简装,马赛国际公寓,2006年建/塔楼,潭村地铁 马赛国际公寓 带阳台单间
东,1室0厅,天河珠江新城东,低楼层/共33层,https://gz.lianjia.com/ershoufang/GZ0003428651.html,200,46.91平米,0,简装,马赛国际公寓,2006年建/塔楼,马赛国际公寓 东向光线通透
